group,map_name,map_file,status,error,map_width,map_height,map_area,playable_x0,playable_y0,playable_x1,playable_y1,playable_width,playable_height,playable_area,playable_matches_full_map,source,map_path
smac,3s5z_vs_3s6z,3s5z_vs_3s6z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s5z_vs_3s6z.SC2Map
smac,3s_vs_3z,3s_vs_3z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s_vs_3z.SC2Map
smac,3s_vs_4z,3s_vs_4z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s_vs_4z.SC2Map
smac,3s_vs_5z,3s_vs_5z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\3s_vs_5z.SC2Map
smac,5m_vs_6m,5m_vs_6m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\5m_vs_6m.SC2Map
smac,6h_vs_8z,6h_vs_8z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\6h_vs_8z.SC2Map
smac,8m,8m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\8m.SC2Map
smac,8m_vs_9m,8m_vs_9m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\8m_vs_9m.SC2Map
smac,bane_vs_bane,bane_vs_bane.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\bane_vs_bane.SC2Map
smac,corridor,corridor.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\corridor.SC2Map
smac,MMM,MMM.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\MMM.SC2Map
smac,MMM2,MMM2.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\MMM2.SC2Map
smac,so_many_baneling,so_many_baneling.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_Maps\so_many_baneling.SC2Map
smacv2,10gen_empty,10gen_empty.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\10gen_empty.SC2Map
smacv2,10gen_protoss,10gen_protoss.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\10gen_protoss.SC2Map
smacv2,10gen_terran,10gen_terran.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\10gen_terran.SC2Map
smacv2,10gen_zerg,10gen_zerg.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\10gen_zerg.SC2Map
smacv2,10m_vs_11m,10m_vs_11m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\10m_vs_11m.SC2Map
smacv2,1c3s5z,1c3s5z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\1c3s5z.SC2Map
smacv2,25m,25m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\25m.SC2Map
smacv2,27m_vs_30m,27m_vs_30m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\27m_vs_30m.SC2Map
smacv2,2c_vs_64zg,2c_vs_64zg.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\2c_vs_64zg.SC2Map
smacv2,2m_vs_1z,2m_vs_1z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\2m_vs_1z.SC2Map
smacv2,2s3z,2s3z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\2s3z.SC2Map
smacv2,2s_vs_1sc,2s_vs_1sc.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\2s_vs_1sc.SC2Map
smacv2,32x32_flat,32x32_flat.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\32x32_flat.SC2Map
smacv2,32x32_flat_test,32x32_flat_test.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\32x32_flat_test.SC2Map
smacv2,32x32_small,32x32_small.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\32x32_small.SC2Map
smacv2,3m,3m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\3m.SC2Map
smacv2,3s5z,3s5z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\3s5z.SC2Map
smacv2,3s5z_vs_3s6z,3s5z_vs_3s6z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\3s5z_vs_3s6z.SC2Map
smacv2,3s_vs_3z,3s_vs_3z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\3s_vs_3z.SC2Map
smacv2,3s_vs_4z,3s_vs_4z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\3s_vs_4z.SC2Map
smacv2,3s_vs_5z,3s_vs_5z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\3s_vs_5z.SC2Map
smacv2,5m_vs_6m,5m_vs_6m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\5m_vs_6m.SC2Map
smacv2,6h_vs_8z,6h_vs_8z.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\6h_vs_8z.SC2Map
smacv2,8m,8m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\8m.SC2Map
smacv2,8m_vs_9m,8m_vs_9m.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\8m_vs_9m.SC2Map
smacv2,bane_vs_bane,bane_vs_bane.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\bane_vs_bane.SC2Map
smacv2,corridor,corridor.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\corridor.SC2Map
smacv2,MMM,MMM.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\MMM.SC2Map
smacv2,MMM2,MMM2.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\MMM2.SC2Map
smacv2,so_many_baneling,so_many_baneling.SC2Map,ok,,28.0,28.0,784.0,0.0,0.0,28.0,28.0,28.0,28.0,784.0,True,C:\VSCode Workspace\StarCraft II\SC2 - Two Bridge Maps\Environments\Utilities\outputs\smac_map_bounds\smac_map_bounds_summary.json,C:\Program Files (x86)\StarCraft II\Maps\SMAC_V2_Maps\so_many_baneling.SC2Map
minigame,BuildMarines,BuildMarines.SC2Map,ok,,26.0,18.0,468.0,0.0,0.0,26.0,18.0,26.0,18.0,468.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\BuildMarines.SC2Map
minigame,CollectMineralsAndGas,CollectMineralsAndGas.SC2Map,ok,,26.0,18.0,468.0,0.0,0.0,26.0,18.0,26.0,18.0,468.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\CollectMineralsAndGas.SC2Map
minigame,CollectMineralShards,CollectMineralShards.SC2Map,ok,,22.0,16.0,352.0,0.0,0.0,22.0,16.0,22.0,16.0,352.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\CollectMineralShards.SC2Map
minigame,DefeatRoaches,DefeatRoaches.SC2Map,ok,,22.0,16.0,352.0,0.0,0.0,22.0,16.0,22.0,16.0,352.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\DefeatRoaches.SC2Map
minigame,DefeatZerglingsAndBanelings,DefeatZerglingsAndBanelings.SC2Map,ok,,22.0,16.0,352.0,0.0,0.0,22.0,16.0,22.0,16.0,352.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\DefeatZerglingsAndBanelings.SC2Map
minigame,FindAndDefeatZerglings,FindAndDefeatZerglings.SC2Map,ok,,44.0,32.0,1408.0,0.0,0.0,44.0,32.0,44.0,32.0,1408.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\FindAndDefeatZerglings.SC2Map
minigame,MoveToBeacon,MoveToBeacon.SC2Map,ok,,22.0,16.0,352.0,0.0,0.0,22.0,16.0,22.0,16.0,352.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\mini_games\MoveToBeacon.SC2Map
twobridge,TwoBridgeMap_V2_Base,TwoBridgeMap_V2_Base.SC2Map,ok,,56.0,62.0,3472.0,0.0,0.0,56.0,62.0,56.0,62.0,3472.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\Strategy Maps\Camera Free\TwoBridgeMap_V2_Base.SC2Map
full-game,Simple128,Simple128.SC2Map,ok,,128.0,128.0,16384.0,0.0,0.0,128.0,128.0,128.0,128.0,16384.0,True,live,C:\Program Files (x86)\StarCraft II\Maps\Melee\Simple128.SC2Map
